102 561
-0.750641 0.391769 0.499224
-0.944271 1.30232e-11 0.496706
-0.644308 0.182273 0.494996
-0.794289 0.0911367 0.495844
-0.697474 0.287021 0.497107
-0.847456 0.195885 0.497959
-0.772465 0.241453 0.497531
-0.724058 0.339395 0.498165
-0.799048 0.293827 0.49859
-0.86928 0.0455683 0.496274
-0.820872 0.143511 0.496901
-0.895863 0.0979423 0.497331
-0.745882 0.189079 0.496474
-0.719299 0.136705 0.495419
-0.670891 0.234647 0.496051
-0.761553 0.316611 0.498377
-0.737349 0.365582 0.498694
-0.774844 0.342798 0.498907
-0.858368 0.120726 0.497115
-0.834164 0.169698 0.49743
-0.871659 0.146913 0.497644
-0.796669 0.192482 0.497216
-0.80996 0.218669 0.497745
-0.708387 0.211863 0.496262
-0.684183 0.260834 0.496579
-0.721678 0.23805 0.49679
-0.785757 0.26764 0.49806
-0.823252 0.244856 0.498274
-0.748261 0.290424 0.497848
-0.73497 0.264237 0.497319
-0.710766 0.313208 0.497636
-0.906775 0.0227842 0.496489
-0.882571 0.0717553 0.496802
-0.920067 0.0489711 0.497018
-0.845076 0.0945395 0.496587
-0.831785 0.0683525 0.496059
-0.807581 0.117324 0.496372
-0.770086 0.140108 0.496159
-0.783377 0.166295 0.496687
-0.759173 0.215266 0.497003
-0.756794 0.113921 0.495631
-0.73259 0.162892 0.495946
-0.695095 0.185676 0.495734
-0.681803 0.159489 0.495207
-0.6576 0.20846 0.495523
-0.756097 0.35419 0.4988
-0.743995 0.378676 0.498959
-0.762743 0.367284 0.499065
-0.852912 0.158306 0.497537
-0.84081 0.182791 0.497694
-0.859557 0.171399 0.497801
-0.822062 0.194183 0.497587
-0.828708 0.207277 0.497852
-0.70293 0.249442 0.496684
-0.690829 0.273928 0.496843
-0.709576 0.262536 0.496949
-0.804504 0.256248 0.498167
-0.792402 0.280733 0.498325
-0.81115 0.269341 0.498432
-0.773655 0.292125 0.498219
-0.7803 0.305219 0.498483
-0.729514 0.301816 0.497742
-0.717412 0.326302 0.4979
-0.736159 0.31491 0.498006
-0.901319 0.0603632 0.49691
-0.889217 0.0848488 0.497066
-0.907965 0.0734567 0.497174
-0.87047 0.0962409 0.496959
-0.877115 0.109334 0.497223
-0.826329 0.105932 0.496479
-0.814227 0.130417 0.496637
-0.832974 0.119025 0.496744
-0.795479 0.141809 0.49653
-0.802125 0.154903 0.496794
-0.790023 0.179388 0.496951
-0.808771 0.167996 0.497058
-0.747072 0.239751 0.497161
-0.753717 0.252845 0.497425
-0.765819 0.228359 0.497267
-0.751338 0.1515 0.496052
-0.739236 0.175985 0.49621
-0.757984 0.164593 0.496316
-0.720488 0.187378 0.496104
-0.727134 0.200471 0.496368
-0.676347 0.197068 0.495629
-0.664245 0.221554 0.495787
-0.682993 0.210162 0.495893
-0.768199 0.329704 0.498642
-0.786946 0.318312 0.498748
-0.749451 0.341097 0.498536
-0.742805 0.328003 0.498271
-0.730703 0.352489 0.49843
-0.865014 0.13382 0.49738
-0.883761 0.122428 0.497487
-0.846266 0.145212 0.497272
-0.83962 0.132119 0.497008
-0.827518 0.156604 0.497165
-0.815416 0.18109 0.497323
-0.803315 0.205575 0.49748
-0.784567 0.216967 0.497373
-0.791213 0.230061 0.497638
-0.715032 0.224957 0.496526
-0.73378 0.213565 0.496632
-0.696285 0.236349 0.49642
-0.689639 0.223255 0.496156
-0.677537 0.247741 0.496315
-0.816606 0.231762 0.498009
-0.835354 0.22037 0.498116
-0.797858 0.243154 0.497902
-0.779111 0.254546 0.497796
-0.760363 0.265938 0.497689
-0.767009 0.279032 0.497954
-0.754907 0.303518 0.498112
-0.741615 0.277331 0.497583
-0.722868 0.288723 0.497477
-0.716222 0.275629 0.497213
-0.70412 0.300115 0.497371
-0.925523 0.0113921 0.496598
-0.913421 0.0358777 0.496754
-0.932169 0.0244856 0.496862
-0.894673 0.0472697 0.496646
-0.888028 0.0341763 0.496381
-0.875926 0.0586618 0.496538
-0.857178 0.0700539 0.49643
-0.863824 0.0831474 0.496694
-0.851722 0.107633 0.496851
-0.850532 0.0569604 0.496166
-0.83843 0.081446 0.496323
-0.819683 0.0928381 0.496215
-0.813037 0.0797446 0.495951
-0.800935 0.10423 0.496108
-0.782187 0.115622 0.496002
-0.788833 0.128716 0.496266
-0.776731 0.153201 0.496423
-0.76463 0.177687 0.496581
-0.752528 0.202172 0.496738
-0.771275 0.19078 0.496845
-0.777921 0.203874 0.497109
-0.740426 0.226658 0.496896
-0.728324 0.251144 0.497054
-0.775542 0.102529 0.495738
-0.76344 0.127014 0.495895
-0.744692 0.138406 0.495789
-0.738046 0.125313 0.495525
-0.725945 0.149798 0.495682
-0.707197 0.161191 0.495576
-0.713843 0.174284 0.49584
-0.701741 0.19877 0.495998
-0.700551 0.148097 0.495313
-0.688449 0.172583 0.495471
-0.669702 0.183975 0.495365
-0.663056 0.170881 0.495101
-0.650954 0.195367 0.49526
-0.753369 0.37298 0.499012
-0.747318 0.385222 0.499092
-0.756692 0.379526 0.499145
-0.850184 0.177095 0.497748
-0.844133 0.189338 0.497826
-0.853507 0.183642 0.49788
-0.834759 0.195034 0.497773
-0.838082 0.201581 0.497905
-0.700202 0.268232 0.496896
-0.694152 0.280474 0.496975
-0.703525 0.274778 0.497028
-0.801776 0.275037 0.498378
-0.795725 0.28728 0.498458
-0.805099 0.281584 0.498511
-0.786351 0.292976 0.498404
-0.789674 0.299523 0.498537
-0.726786 0.320606 0.497953
-0.720735 0.332848 0.498033
-0.730108 0.327152 0.498086
-0.898591 0.0791528 0.49712
-0.89254 0.0913955 0.497198
-0.901914 0.0856995 0.497252
-0.883166 0.0970916 0.497145
-0.886489 0.103638 0.497277
-0.8236 0.124721 0.49669
-0.81755 0.136964 0.496769
-0.826923 0.131268 0.496822
-0.808176 0.14266 0.496715
-0.811499 0.149207 0.496847
-0.805448 0.161449 0.496926
-0.814822 0.155753 0.496979
-0.759768 0.240602 0.497346
-0.763091 0.247149 0.497478
-0.769142 0.234906 0.497399
-0.74861 0.170289 0.496263
-0.742559 0.182532 0.496342
-0.751933 0.176836 0.496395
-0.733185 0.188228 0.496289
-0.736508 0.194775 0.496421
-0.673619 0.215858 0.49584
-0.667568 0.228101 0.495919
-0.676942 0.222405 0.495972
-0.777572 0.324008 0.498695
-0.771522 0.336251 0.498774
-0.780895 0.330555 0.498827
-0.762148 0.341947 0.498721
-0.765471 0.348494 0.498854
-0.740077 0.346793 0.498483
-0.734026 0.359035 0.498562
-0.7434 0.353339 0.498615
-0.874387 0.128124 0.497434
-0.868336 0.140367 0.497512
-0.87771 0.134671 0.497566
-0.858963 0.146063 0.497458
-0.862285 0.152609 0.497591
-0.836892 0.150908 0.497219
-0.830841 0.163151 0.497297
-0.840215 0.157455 0.497351
-0.821467 0.168847 0.497244
-0.82479 0.175394 0.497376
-0.818739 0.187636 0.497455
-0.828113 0.18194 0.497508
-0.797264 0.217818 0.497559
-0.800586 0.224365 0.497691
-0.806637 0.212122 0.497612
-0.724406 0.219261 0.496579
-0.718355 0.231503 0.496658
-0.727729 0.225807 0.496711
-0.708981 0.237199 0.496605
-0.712304 0.243746 0.496737
-0.686911 0.242045 0.496368
-0.68086 0.254288 0.496447
-0.690234 0.248591 0.4965
-0.82598 0.226066 0.498063
-0.819929 0.238309 0.498142
